year,province,track,score,rank
2025,吉林省,history,232,29219
2025,吉林省,history,231,29227
2025,吉林省,history,230,29234
2025,吉林省,history,229,29246
2025,吉林省,history,228,29260
2025,吉林省,history,227,29265
2025,吉林省,history,226,29274
2025,吉林省,history,225,29283
2025,吉林省,history,224,29294
2025,吉林省,history,223,29306
2025,吉林省,history,222,29312
2025,吉林省,history,221,29320
2025,吉林省,history,220,29329
2025,吉林省,history,219,29339
2025,吉林省,history,218,29345
2025,吉林省,history,217,29349
2025,吉林省,history,216,29353
2025,吉林省,history,215,29363
2025,吉林省,history,214,29367
2025,吉林省,history,213,29372
2025,吉林省,history,212,29380
2025,吉林省,history,211,29385
2025,吉林省,history,210,29392
2025,吉林省,history,209,29398
2025,吉林省,history,208,29403
2025,吉林省,history,207,29409
2025,吉林省,history,206,29411
2025,吉林省,history,205,29414
2025,吉林省,history,204,29418
2025,吉林省,history,203,29422
2025,吉林省,history,202,29430
2025,吉林省,history,201,29433
2025,吉林省,history,200,29436
2025,吉林省,history,199,29440
2025,吉林省,history,198,29444
2025,吉林省,history,197,29447
2025,吉林省,history,196,29453
2025,吉林省,history,195,29458
2025,吉林省,history,194,29461
2025,吉林省,history,193,29464
2025,吉林省,history,192,29467
2025,吉林省,history,191,29474
2025,吉林省,history,190,29476
2025,吉林省,history,189,29479
2025,吉林省,history,188,29481
2025,吉林省,history,187,29484
2025,吉林省,history,186,29487
2025,吉林省,history,185,29491
2025,吉林省,history,184,29494
2025,吉林省,history,183,29495
2025,吉林省,history,182,29498
2025,吉林省,history,181,29503
2025,吉林省,history,180,29505
2025,吉林省,history,179,29512
2025,吉林省,history,178,29517
2025,吉林省,history,177,29518
2025,吉林省,history,176,29520
2025,吉林省,history,175,29521
2025,吉林省,history,174,29522
2025,吉林省,history,173,29523
2025,吉林省,history,172,29524
2025,吉林省,history,171,29524
2025,吉林省,history,170,29526
2025,吉林省,history,169,29527
2025,吉林省,history,168,29528
2025,吉林省,history,167,29531
