year,province,track,score,rank
2025,吉林省,physics,320,72586
2025,吉林省,physics,319,72729
2025,吉林省,physics,318,72882
2025,吉林省,physics,317,72999
2025,吉林省,physics,316,73107
2025,吉林省,physics,315,73231
2025,吉林省,physics,314,73352
2025,吉林省,physics,313,73500
2025,吉林省,physics,312,73619
2025,吉林省,physics,311,73729
2025,吉林省,physics,310,73864
2025,吉林省,physics,309,73993
2025,吉林省,physics,308,74104
2025,吉林省,physics,307,74208
2025,吉林省,physics,306,74300
2025,吉林省,physics,305,74413
2025,吉林省,physics,304,74529
2025,吉林省,physics,303,74623
2025,吉林省,physics,302,74731
2025,吉林省,physics,301,74829
2025,吉林省,physics,300,74928
2025,吉林省,physics,299,75022
2025,吉林省,physics,298,75118
2025,吉林省,physics,297,75217
2025,吉林省,physics,296,75306
2025,吉林省,physics,295,75395
2025,吉林省,physics,294,75483
2025,吉林省,physics,293,75571
2025,吉林省,physics,292,75649
2025,吉林省,physics,291,75744
2025,吉林省,physics,290,75830
2025,吉林省,physics,289,75913
2025,吉林省,physics,288,75983
2025,吉林省,physics,287,76074
2025,吉林省,physics,286,76138
2025,吉林省,physics,285,76205
2025,吉林省,physics,284,76282
2025,吉林省,physics,283,76362
2025,吉林省,physics,282,76444
2025,吉林省,physics,281,76525
2025,吉林省,physics,280,76596
2025,吉林省,physics,279,76661
2025,吉林省,physics,278,76712
2025,吉林省,physics,277,76768
2025,吉林省,physics,276,76824
2025,吉林省,physics,275,76901
2025,吉林省,physics,274,76966
2025,吉林省,physics,273,77020
2025,吉林省,physics,272,77088
2025,吉林省,physics,271,77137
2025,吉林省,physics,270,77181
2025,吉林省,physics,269,77238
2025,吉林省,physics,268,77281
2025,吉林省,physics,267,77331
2025,吉林省,physics,266,77372
2025,吉林省,physics,265,77420
2025,吉林省,physics,264,77470
2025,吉林省,physics,263,77520
2025,吉林省,physics,262,77569
2025,吉林省,physics,261,77596
2025,吉林省,physics,260,77640
2025,吉林省,physics,259,77685
2025,吉林省,physics,258,77723
2025,吉林省,physics,257,77763
2025,吉林省,physics,256,77803
2025,吉林省,physics,255,77833
2025,吉林省,physics,254,77877
2025,吉林省,physics,253,77919
2025,吉林省,physics,252,77946
2025,吉林省,physics,251,77972
2025,吉林省,physics,250,78006
2025,吉林省,physics,249,78032
2025,吉林省,physics,248,78067
2025,吉林省,physics,247,78105
2025,吉林省,physics,246,78137
2025,吉林省,physics,245,78167
2025,吉林省,physics,244,78185
2025,吉林省,physics,243,78212
2025,吉林省,physics,242,78241
2025,吉林省,physics,241,78275
2025,吉林省,physics,240,78292
2025,吉林省,physics,239,78319
2025,吉林省,physics,238,78344
2025,吉林省,physics,237,78360
2025,吉林省,physics,236,78382
2025,吉林省,physics,235,78403
2025,吉林省,physics,234,78432
2025,吉林省,physics,233,78454
2025,吉林省,physics,232,78478
2025,吉林省,physics,231,78501
2025,吉林省,physics,230,78524
2025,吉林省,physics,229,78545
2025,吉林省,physics,228,78557
2025,吉林省,physics,227,78569
2025,吉林省,physics,226,78592
2025,吉林省,physics,225,78610
2025,吉林省,physics,224,78627
2025,吉林省,physics,223,78643
2025,吉林省,physics,222,78657
2025,吉林省,physics,221,78673
2025,吉林省,physics,220,78687
2025,吉林省,physics,219,78693
2025,吉林省,physics,218,78713
2025,吉林省,physics,217,78722
2025,吉林省,physics,216,78728
2025,吉林省,physics,215,78734
2025,吉林省,physics,214,78740
2025,吉林省,physics,213,78753
2025,吉林省,physics,212,78760
2025,吉林省,physics,211,78776
2025,吉林省,physics,210,78789
2025,吉林省,physics,209,78800
2025,吉林省,physics,208,78816
2025,吉林省,physics,207,78823
2025,吉林省,physics,206,78831
2025,吉林省,physics,205,78838
2025,吉林省,physics,204,78843
2025,吉林省,physics,203,78848
2025,吉林省,physics,202,78856
2025,吉林省,physics,201,78867
2025,吉林省,physics,200,78877
2025,吉林省,physics,199,78885
2025,吉林省,physics,198,78888
2025,吉林省,physics,197,78894
2025,吉林省,physics,196,78896
2025,吉林省,physics,195,78903
2025,吉林省,physics,194,78905
2025,吉林省,physics,193,78911
2025,吉林省,physics,192,78915
2025,吉林省,physics,191,78917
2025,吉林省,physics,190,78921
2025,吉林省,physics,189,78926
2025,吉林省,physics,188,78933
2025,吉林省,physics,187,78937
2025,吉林省,physics,186,78940
2025,吉林省,physics,185,78943
2025,吉林省,physics,184,78947
2025,吉林省,physics,183,78949
2025,吉林省,physics,182,78950
2025,吉林省,physics,181,78952
2025,吉林省,physics,180,78953
2025,吉林省,physics,179,78955
